"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"A9V8UN33","journalArticle","2019","Chaikovska, Iryna; Apyan, Armen; Chehab, Robert; Enomoto, Yoshinori; Faus-Golfe, Angeles; Furukawa, Kazuro; Han, Yanliang; Kamitani, Takuya; Martyshkin, Pavel; Miyahara, Fusashi; Ogur, Salim; Oide, Katsunobu; Papaphilippou, Yannis; Rinolfi, Louis; Satoh, Masanori; Seimiya, Yuji; Sievers, Peter; Suwada, Tsuyoshi; Zimmermann, Frank","Positron Source for FCC-ee","Proceedings of the 10th Int. Particle Accelerator Conf.","","","10.18429/JACOW-IPAC2019-MOPMP003","http://jacow.org/ipac2019/doi/JACoW-IPAC2019-MOPMP003.html","The FCC-ee is a high-luminosity, high-precision circular collider to be constructed in a new 100 km tunnel in the Geneva area. The physics case is well established and the FCC-ee operation is foreseen at 91 GeV (Z-pole), 160 GeV (W pair production threshold), 240 GeV (Higgs resonance) and 365 GeV (tt¯ threshold). Due to the large 6D production emittance and important thermal load in the production target, the positron injector, in particular the positron source, is one of the key elements of the FCC-ee, requiring special attention. To ensure high reliability of the positron source, conventional and hybrid targets are currently under study. The ﬁnal choice of the positron target will be made based on the estimated performances. In this framework, we present a preliminary design of the FCC-ee positron source, with detailed simulation studies of positron production, capture and primary acceleration.","2019","2026-04-16 10:01:32","2026-04-16 10:01:32","2026-04-16 10:01:32","4 pages, 1.191 MB","","","IPAC2019","","","","","","","","JACoW Publishing, Geneva, Switzerland","","en","CC 3.0","","","","DOI.org (Datacite)","","Artwork Size: 4 pages, 1.191 MB ISBN: 9783954502080 Medium: PDF","","/Users/maddiewatson/Zotero/storage/3P455CE6/Chaikovska et al. - 2019 - Positron Source for FCC-ee.pdf","","","Accelerator Physics; MC1: Circular and Linear Colliders","Mark (Ed.), Boland; Hitoshi (Ed.), Tanaka; David (Ed.), Button; Rohan (Ed.), Dowd; RW (Ed.), Schaa, Volker; Eugene (Ed.), Tan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3XJTL688","thesis","2001","Berglund, G. Z. M.; Deutsches Elektronen-Synchrotron (DESY), Hamburg (Germany); Royal Inst. of Tech., Stockholm (Sweden)","Spin-orbit maps and electron spin dynamics for the luminosity upgrade project at HERA","","","1435-8085","","https://inis.iaea.org/records/0v4zt-5k220","HERA is the high energy electron(positron)-proton collider at deutsches elektronen-synchrotron (DESY) in Hamburg. Following eight years of successful running, five of which were with a longitudinally spin polarized electron(positron) beam for the HERMES experiment, the rings have now been modified to increase the luminosity by a factor of about five and spin rotators have been installed for the H1 and ZEUS experiments. The modifications involve nonstandard configurations of overlapping magnetic fields and other aspects which have profound implications for the polarization. This thesis addresses the problem of calculating the polarization in the upgraded machine and the measures needed to maintain the polarization. A central topic is the construction of realistic spin-orbit transport maps for the regions of overlapping fields and their implementation in existing software. This is the first time that calculations with such fields have been possible. Using the upgraded software, calculations are presented for the polarization that can be expected in the upgraded machine and an analysis is made of the contributions to depolarization from the various parts of the machine. It is concluded that about 50% polarization should be possible. The key issues for tuning the machine are discussed. The last chapter deals with a separate topic, namely how to exploit a simple unitary model of spin motion to describe electron depolarization and thereby expose a misconception appearing in the literature. (orig.)","2001-09","2026-04-16 13:18:12","2026-04-16 13:20:26","2026-04-16 13:18:12","","","","","","","","","","","","Deutsches Elektronen-Synchrotron (DESY), Hamburg (Germany)","","English","","","","","inis.iaea.org","","","","/Users/maddiewatson/Zotero/storage/LQI2DLUP/0v4zt-5k220.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K5GNLGDI","preprint","2014","Wolski, Andrzej","Low-emittance storage rings","","","","10.5170/CERN-2014-009.245","http://arxiv.org/abs/1507.02213","The effects of synchrotron radiation on particle motion in storage rings are discussed. In the absence of radiation, particle motion is symplectic, and the beam emittances are conserved. The inclusion of radiation effects in a classical approximation leads to emittance damping: expressions for the damping times are derived. Then, it is shown that quantum radiation effects lead to excitation of the beam emittances. General expressions for the equilibrium longitudinal and horizontal (natural) emittances are derived. The impact of lattice design on the natural emittance is discussed, with particular attention to the special cases of FODO, achromat, and TME style lattices. Finally, the effects of betatron coupling and vertical dispersion (generated by magnet alignment and lattice tuning errors) on the vertical emittance are considered.","2014","2026-04-16 13:22:25","2026-04-16 13:22:25","2026-04-16 13:22:25","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv:1507.02213 [physics]","","/Users/maddiewatson/Zotero/storage/ZWIA2LRY/Wolski - 2014 - Low-emittance storage rings.pdf; /Users/maddiewatson/Zotero/storage/CXHBN5Q8/1507.html","","","Physics - Accelerator Physics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MCCJ9LI5","report","1970","USDOE Office of Science (SC); SLAC National Accelerator Laboratory (SLAC), Menlo Park, CA (United States); Sands, Matthew.","The Physics of Electron Storage Rings: An Introduction","","","","10.2172/1453884","https://www.osti.gov/biblio/1453884","","1970-11-01","2026-04-16 13:23:23","2026-04-16 13:23:23","2026-04-16 13:23:23","SLAC-R-121, 1453884","","","","","","The Physics of Electron Storage Rings","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/maddiewatson/Zotero/storage/5QEKKSN5/USDOE Office of Science (SC) et al. - 1970 - The Physics of Electron Storage Rings An Introduction.pdf","","","","","","","","","","","","","","","","","","","","","","SLAC-R-121, 1453884","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4KKKYFDC","book","2023","","Polarized Beam Dynamics and Instrumentation in Particle Accelerators: USPAS Summer 2021 Spin Class Lectures","","978-3-031-16714-0 978-3-031-16715-7","","10.1007/978-3-031-16715-7","https://link.springer.com/10.1007/978-3-031-16715-7","","2023","2026-04-16 13:24:29","2026-04-16 13:24:29","2026-04-16 13:24:29","","","","","","","Polarized Beam Dynamics and Instrumentation in Particle Accelerators","Particle Acceleration and Detection","","","","Springer International Publishing","Cham","en","https://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","/Users/maddiewatson/Zotero/storage/VZA9ZJ72/Méot et al. - 2023 - Polarized Beam Dynamics and Instrumentation in Particle Accelerators USPAS Summer 2021 Spin Class L.pdf","","","","Méot, François; Huang, Haixin; Ptitsyn, Vadim; Lin, Fanglei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9AA545Z7","report","2025","Benedikt, Michael; Bartmann, Wolfgang; Burnet, Jean-Paul; Carli, Christian; Chance, Antoine; Craievich, Paolo; Giovannozzi, Massimo; Grojean, Christophe; Gutleber, Johannes; Hanke, Klaus; Henriques, Andre; Janot, Patrick; Lourenco, Carlos; Mangano, Michelangelo; Otto, Thomas; Poole, John Howard; Rajagopalan, Srini; Raubenheimer, Tor; Todesco, Ezio; Ulrici, Luisa; Watson, Timothy Paul; Wilkinson, Guy; Zimmermann, Frank","Future Circular Collider Feasibility Study Report Volume 2: Accelerators, technical infrastructure and safety","","","","10.17181/CERN.EBAY.7W4X","http://cds.cern.ch/record/2928793","In response to the 2020 Update of the European Strategy for Particle Physics, the Future Circular Collider (FCC) Feasibility Study was launched as an international collaboration hosted by CERN. The FCC ‘integrated programme’, described in this report, in a first stage consists of a highest-luminosity electron-positron collider, FCC-ee, serving as Higgs, top and electroweak factory, with a subsequent energy-frontier proton-proton collider, FCC-hh, as the second stage.     The FCC-ee is designed to operate at four baseline centre-of-mass energies, corresponding to the Z pole, the WW pair production threshold, the ZH production peak, and the top/anti-top production threshold, always delivering the highest possible luminosities to four experiments. Over a span of 15 years, FCC-ee will produce more than 6 trillion Z bosons, 200 million WW pairs, almost 3 million Higgs bosons,  and 2 million top anti-top pairs. On the Z pole and at the WW pair threshold, the collision energy can be precisely calibrated by frequent resonant depolarisation of pilot bunches. The sequence of operation modes and beam energies is flexible, between the Z, WW and ZH substages. The hadron collider, FCC-hh, will operate at a centre-of-mass energy of about 85 TeV, extending the energy frontier by almost an order of magnitude compared with the LHC, and providing integrated luminosity 5-10 times higher than that of the upcoming High-Luminosity LHC. The mass reach for direct discovery at the FCC-hh amounts to several tens of TeV. The FCC-hh can also accommodate ion-ion, ion-hadron, and lepton-hadron collision options.   This second volume of the Feasibility Study Report covers the complete design of the FCC-ee collider, the operation and staging concepts, the design of the full-energy booster and of the FCC-ee injector complex, the accelerator technologies required, safety concepts, and technical infrastructures,  along with the design of the FCC-hh hadron collider, the associated high-field magnet developments, hadron injector options, and FCC-hh key technical systems.","2025","2026-04-16 13:25:52","2026-04-16 13:25:52","2026-04-16 13:25:52","","","","","","","Future Circular Collider Feasibility Study Report Volume 2","","","","","CERN Document Server","","en","","","","","DOI.org (Datacite)","","","","/Users/maddiewatson/Zotero/storage/YZVWSJ3X/Benedikt et al. - 2025 - Future Circular Collider Feasibility Study Report Volume 2 Accelerators, technical infrastructure a.pdf","","","lepton collider","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78DQ4DH8","preprint","2012","Jensen, E.","Cavity basics","","","","10.48550/arXiv.1201.3202","http://arxiv.org/abs/1201.3202","The fields in rectangular and circular waveguides are derived from Maxwell's equations by superposition of plane waves. Subsequently the results are applied to explain cavity modes. Interaction of the cavity modes with a charged particle beam leads to the fundamental parameters used to describe the performance of accelerating cavities. Finally an introduction to multi-gap cavities is given by the example of travelling-wave structures.","2012-01-16","2026-04-16 13:27:02","2026-04-16 13:27:02","2026-04-16 13:27:02","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1201.3202 [physics]","","/Users/maddiewatson/Zotero/storage/PDYDBSM8/Jensen - 2012 - Cavity basics.pdf; /Users/maddiewatson/Zotero/storage/C2T8J3A9/1201.html","","","Physics - Accelerator Physics","","","","","","","","","","","","","","","","","","","arXiv:1201.3202","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WFZZGH2Z","journalArticle","1990","Yoshida, Haruo","Construction of higher order symplectic integrators","Physics Letters A","","03759601","10.1016/0375-9601(90)90092-3","https://linkinghub.elsevier.com/retrieve/pii/0375960190900923","","1990-11","2026-04-16 13:27:38","2026-04-16 13:27:38","2026-04-16 13:27:38","262-268","","5-7","150","","Physics Letters A","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/maddiewatson/Zotero/storage/T24YBXR6/Yoshida - 1990 - Construction of higher order symplectic integrators.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HD8U7I2J","conferencePaper","2007","Montag, C.; Bengtsson, J.; Nash, B.","Touschek lifetime calculations and simulations for NSLS-II","2007 IEEE Particle Accelerator Conference (PAC)","978-1-4244-0916-7","","10.1109/PAC.2007.4440106","http://ieeexplore.ieee.org/document/4440106/","The beam lifetime in most medium energy synchrotron radiation sources is limited by the Touschek effect, which describes the momentum transfer from the transverse into the longitudinal direction due to binary collisions between electrons. While an analytical formula exists to calculate the resulting lifetime, the actual momentum acceptance necessary to perform this calculation can only be determined by tracking. This is especially the case in the presence of small vertical apertures at insertion devices. In this case, nonlinear betatron coupling leads to beam losses at these vertical aperture restrictions. In addition, a realistic model of the storage ring is necessary for calculation of equilibrium beam sizes (particularly in the vertical direction) which are important for a self-consistent lifetime calculation.","2007","2026-04-16 13:28:15","2026-04-16 13:28:15","2026-04-16 13:28:15","4375-4377","","","","","","","","","","","IEEE","Albuquerque, NM","en","","","","","DOI.org (Crossref)","","","","/Users/maddiewatson/Zotero/storage/4PZHX2NN/Montag et al. - 2007 - Touschek lifetime calculations and simulations for NSLS-II.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2007 IEEE Particle Accelerator Conference (PAC)","","","","","","","","","","","","","","",""
"GSXPSIQQ","preprint","1999","Piwinski, A.","The Touschek Effect in Strong Focusing Storage Rings","","","","10.48550/arXiv.physics/9903034","http://arxiv.org/abs/physics/9903034","The lifetime of a stored beam due to the Touschek effect is calculated for arbitrary ratios of beam height to beam width. A variation of the beam envelopes is taken into account, i.e. the derivatives of the horizontal and vertical amplitude functions and dispersions are included. The calculation is done for arbitrary energies in the rest frame of the colliding particles.","1999-03-22","2026-04-16 13:28:55","2026-04-16 13:28:55","2026-04-16 13:28:55","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:physics/9903034","","/Users/maddiewatson/Zotero/storage/BP3F8UU9/Piwinski - 1999 - The Touschek Effect in Strong Focusing Storage Rings.pdf; /Users/maddiewatson/Zotero/storage/CNLFKW3J/9903034.html","","","Physics - Accelerator Physics; Physics - Classical Physics","","","","","","","","","","","","","","","","","","","arXiv:physics/9903034","","","","","","","","","","","","","","","","","","","","","","","","","","",""
