,R56,Vdeb,Phasdeb,RMS_Spread_%,Efficiency_%
148,0.21286968781249735,-0.05656642862714996,0.2316908549358205,7.793405263898825,93.60000000000001
108,0.2571995413729056,-0.06449082448659525,0.4168836917467422,7.7999016160207,93.60000000000001
79,0.22896726488128244,-0.05532920610041056,0.19864917117068998,7.811611910638498,93.60000000000001
145,0.2092217368386332,-0.07166351099177934,0.43153700208435053,7.867903858626016,93.60000000000001
13,0.25308477766956905,-0.06963379738878622,0.4369269451372737,7.9266917085337525,93.60000000000001
37,0.22441802850159598,-0.06671987826008065,0.3462802507830083,7.959886546190916,93.60000000000001
22,0.27303616213380455,-0.07318604125510784,0.3310690818512059,7.983285930577168,93.60000000000001
83,0.21588958757150592,-0.07612234592717042,0.4071152047344685,8.068140250594709,93.60000000000001
146,0.3523910834949742,-0.03450096703520837,0.4451003723380048,6.484037787030161,93.4
137,0.3757547397237945,-0.0686033047938635,0.3876510207516246,6.658427874694296,93.4
99,0.22697285674832612,-0.022048581679895984,0.3640900059296388,6.814139839820036,93.4
81,0.3558245317068895,-0.07460443603422118,0.3438580078774527,6.9681263690355255,93.4
3,0.34966462104925916,-0.07658208595836555,0.32310046552437227,7.080785716124527,93.4
24,0.314017496054259,-0.053224081438582524,0.43420284823211797,7.082930533588519,93.4
49,0.24621361388138177,-0.033018668121356426,0.3190509704999827,7.100452971695467,93.4
85,0.2812958305066868,-0.04163218271077419,0.38121832563469704,7.13531140116892,93.4
64,0.2702336274218452,-0.043173116797869615,0.4295126830717838,7.209245632582142,93.4
61,0.267837257943474,-0.046215720346096015,0.3251508764548236,7.348892775944405,93.4
128,0.2017380326327977,-0.0447049684113445,0.22282025439322756,7.443431570583961,93.4
26,0.24991844553958995,-0.04635933928463011,0.2940239183789902,7.4512357500478545,93.4
117,0.24664251472150897,-0.0446273874019336,0.21503259087947058,7.462977552202677,93.4
96,0.3306832073454985,-0.08577237775240285,0.4004444631450541,7.498399780037311,93.4
6,0.21452090304204988,-0.04917966788911822,0.28070512190541835,7.5485709037135615,93.4
57,0.2489957156047863,-0.050474734633791624,0.3050214534457122,7.555374269476624,93.4
60,0.2971693224223705,-0.06768993159501208,0.23585947417228267,7.627779099990692,93.4
125,0.3067769471565641,-0.07477255579692006,0.29233510881330743,7.645231925287842,93.4
110,0.272437863228442,-0.057748915995124536,0.21175977315664518,7.65685169224972,93.4
82,0.2827245062131623,-0.06346441730604613,0.32012999637295936,7.65861456189517,93.4
19,0.27280728504951046,-0.06136605852176373,0.18758501435760838,7.7550616971550985,93.4
68,0.21863766091994272,-0.0525550651429178,0.16852689717625374,7.758343520878467,93.4
105,0.2623230572872187,-0.06647981063124747,0.4134331299736701,7.829444770957951,93.4
95,0.3234488990910977,-0.010752215611841198,0.4257650639612477,6.395326132771061,93.2
113,0.40203009489110425,-0.07225055214543949,0.30070326084315013,6.538142481733619,93.2
129,0.32768682564439144,-0.030631099584584848,0.14097345574966205,6.654324342717373,93.2
20,0.35296322368059485,-0.04836534572365764,0.2922293326471421,6.658182838912192,93.2
38,0.37105825662803926,-0.07055241324659903,0.2659608401805638,6.762687835904253,93.2
54,0.3494749947027713,-0.0590356410510615,0.12469906159015046,6.856594972494236,93.2
15,0.24585112746335847,-0.0247046256616143,0.34359097213279427,6.8805215868339085,93.2
46,0.2779277690223527,-0.04110664816946409,0.3222827778036753,7.16751507263909,93.2
121,0.4240228249808733,-0.028482990798122887,0.3763663499780938,6.1772688097566215,93.0
120,0.4018600387910156,-0.028595826678222955,0.377052665304047,6.226588130859044,93.0
67,0.40054924518850993,-0.03802628923229638,0.41687272468462233,6.239982565571292,93.0
33,0.43722138431333335,-0.01839909699285286,0.1406254241774207,6.253093167390494,93.0
53,0.4237068376069122,-0.015216871720938108,0.15702704947850038,6.253678985093463,93.0
127,0.41518264581408587,-0.05250541038333523,0.41069646396540493,6.25527307406962,93.0
115,0.41786514754692944,-0.03888470733686933,0.2569559326924119,6.256982444573232,93.0
126,0.40450369148062326,-0.030255723154983732,0.25453567548068196,6.26124349068127,93.0
69,0.44672173415012933,-0.0226164884258733,0.12427645530630792,6.263176083864217,93.0
88,0.42180318564408165,-0.05317915561392482,0.3627151630743004,6.26615790138313,93.0
7,0.41654403644373383,-0.03575705770069236,0.21303476552943607,6.26751201923316,93.0
76,0.3928175866714865,-0.004048416787133163,0.39570635883930905,6.275303473980164,93.0
92,0.39019626215422437,-0.012770341466932733,0.23020633002747412,6.276357094457138,93.0
80,0.41577585646889836,-0.030778304468752737,0.1413576896675797,6.281946090122732,93.0
91,0.37831119680574876,-0.006910713449611888,0.24441618691899927,6.2900267809496615,93.0
50,0.44239615694113965,-0.05369525307685684,0.2760976905030307,6.301627391723363,93.0
111,0.24030532181350112,-0.0014919224843605028,0.4325216884677817,6.325506756609396,93.0
43,0.42733010051969555,-0.0550347814090098,0.25184807723329056,6.332807046174055,93.0
28,0.3481036422155106,-0.009490501689489811,0.24686002184972647,6.342797722578098,93.0
4,0.23900466011060914,-0.0021524318834098832,0.3541319668029316,6.3431949311946445,93.0
62,0.40718437728798235,-0.05220581107460992,0.2603885116720308,6.354683217426273,93.0
116,0.40091801922477865,-0.04544763885070981,0.20262377009432259,6.357512607469892,93.0
114,0.35835093912760585,-0.01839403921080668,0.32114302425942975,6.3581751914250475,93.0
97,0.30688525458963745,-0.005001777143449571,0.25014790958125643,6.36362824657579,93.0
98,0.2063547816860238,-0.005457003436612068,0.3628048737270241,6.413033084679455,93.0
11,0.4424774630404986,-0.05515412541096308,0.12745973346979309,6.413144992792994,93.0
35,0.40209933702911527,-0.051002393094873144,0.11425508081163956,6.428197613125835,93.0
48,0.3366775698358199,-0.016937036360232416,0.23111441511926492,6.435354649644348,93.0
9,0.3770181444490114,-0.040767547708221066,0.19479128794172598,6.437112102160712,93.0
106,0.30259573075890744,-0.009576783875882844,0.23622058755695707,6.440864452625475,93.0
107,0.3888877846357622,-0.04559553049875405,0.10379317801810443,6.441692768780569,93.0
