x[mm] xp[mrad] y[mm] yp[mrad] t[mm/c] p[MeV/c]  ID
-2.009782122150038930e+00 2.601347951576479245e-01 1.855214438771369156e+00 -3.479194036834142301e-01 2.785070756574155530e+05 2.860294375885109730e+03 2.524600000000000000e+04
-1.111276404374743620e+00 -4.109674232057951015e-01 9.552536812702936420e-01 -6.063249468969672540e-02 2.785031513178718742e+05 3.033977674700662647e+03 3.556300000000000000e+04
-1.294651464099287663e+00 -3.072625080033680178e-01 2.269206776663470038e+00 6.920217557390424823e-02 2.785013500865714159e+05 3.049201004173748061e+03 2.000000000000000000e+00
9.415828599354294504e-01 6.365620029014568138e-02 -7.365243698380650184e-01 7.584683735651717162e-01 2.784957453439186793e+05 2.890113050646724332e+03 3.000000000000000000e+00
3.306698337951372579e+00 7.351296899259501805e-01 -5.508341065445465645e-01 -6.703253287117866277e-01 2.784965177766371053e+05 2.911860039280067667e+03 2.631900000000000000e+04
9.417542480400220573e-01 4.130965262330424381e-01 1.107719552265942209e+00 -6.407951066263986029e-01 2.785026647157419357e+05 3.029984583845114230e+03 5.000000000000000000e+00
-7.552631548874982892e-01 -5.674085830401542907e-01 1.522402194605762427e+00 -1.769450567215892445e+00 2.785023784972752328e+05 3.043249545265825873e+03 3.849900000000000000e+04
-1.025084703574919098e+00 -1.801893364271246745e-01 -1.530801624997439880e+00 1.449981150940466146e-01 2.785044991746223532e+05 2.986345646372220926e+03 3.849800000000000000e+04
1.103042298783557751e+00 1.955724024125528315e-01 -8.322414706341095814e-01 2.364401776145060585e-01 2.785030760901650065e+05 3.024218864957170808e+03 8.000000000000000000e+00
2.193360386898350445e+00 6.242922423344221539e-01 1.176316912387607383e+00 -5.932828674107367695e-01 2.784960153708285652e+05 2.901113466393834187e+03 9.000000000000000000e+00
-8.336101092099189591e-01 -6.999766970555377776e-01 -1.167828834560031170e+00 9.088127426188860047e-01 2.784984842918482609e+05 3.007061652423861233e+03 6.114900000000000000e+04
