Sx Sy Sz x[mm] xp[mrad] y[mm] yp[mrad] p[MeV/c] t[mm/c] ID
1.031159838669296752e-02 -6.138725413180219637e-02 1.642851483059808715e-01 1.094148758661496634e+00 1.199303051182244673e+00 -6.976733467793866383e-01 1.346485391729388637e+00 2.944979171576836961e+03 2.785031530157475499e+05 2.000000000000000000e+00
2.903856915366584412e-03 -6.529989332834979128e-03 3.599339754405490172e-02 -2.213064860586891225e+00 -5.870635754447252053e-01 -2.281799309330485304e-01 -3.596377839590669256e-01 2.996835329848728179e+03 2.785028781949866679e+05 5.296100000000000000e+04
1.680410989066917493e-02 8.843138321404277061e-04 2.244408227441680934e-02 -1.222270475030480030e+00 5.305647127047596889e-02 1.116068098300083467e+00 1.593095887233798580e-01 2.998488621825234532e+03 2.784975739804554032e+05 4.000000000000000000e+00
7.168786603018701721e-03 1.776187751620954616e-02 6.500277364773421329e-02 -2.348766860264382306e+00 -1.602965664129352819e+00 -2.904344893532053273e+00 -4.396226680038737844e-01 2.584858168144522551e+03 2.785094941728416597e+05 5.296000000000000000e+04
9.227213818265534925e-03 -3.537990089746004263e-02 -3.056723484322026833e-03 -1.278790975758038240e+00 -4.066037580203536450e-01 1.675193328068437515e-02 2.921646612275387023e-01 2.996931937905888844e+03 2.785028556951585342e+05 6.000000000000000000e+00
3.114807032009315330e-02 -3.266595597016917762e-02 3.462982618029573217e-02 -5.916459661769936318e+00 -2.426845270432787860e+00 1.419457743438433006e+00 1.326543289040948093e+00 2.567979803617465222e+03 2.785099236632953398e+05 3.277700000000000000e+04
-1.231717367287958435e-02 1.259468770393723860e-02 -1.958670043986539266e-02 2.306022789612256207e-01 -2.153317371803286362e-01 -2.379806059503503324e+00 5.582058529994478047e-01 3.028047776418238755e+03 2.784982254227753729e+05 6.494400000000000000e+04
-2.448137559373859701e-03 9.599963188314375798e-03 -5.748853130144027448e-03 7.313936664512196151e-01 9.833309166136879054e-02 3.377942960260427174e-01 6.939742971114981618e-01 2.912445619065194478e+03 2.784953498191116960e+05 9.000000000000000000e+00
-2.612464183881397194e-03 6.324545488836185066e-03 5.029279269854337875e-03 -2.341764021969837462e+00 -9.077454981140750112e-01 -8.908741024962339716e-02 5.318915989705295111e-01 3.045306153228429594e+03 2.784987517570745549e+05 6.733500000000000000e+04
-1.969602838436402539e-04 -4.764576224606486264e-04 1.322949283540556832e-03 -2.479593342581230875e+00 -8.648122013871641922e-01 7.677151610692301009e-02 -2.762638026411923797e-01 2.872516413063309301e+03 2.784946531853089109e+05 1.100000000000000000e+01
