x[mm] xp[mrad] y[mm] yp[mrad] t[mm/c] p[MeV/c] ID
9.734028442578257057e+00 3.038277328705772939e-01 2.156409524573227099e+00 -6.566044556197883075e-01 3.191113941592415213e+05 2.828075941247249830e+03 6.354200000000000000e+04
-9.312250005704093780e+00 -5.005915422747909682e-01 4.434469522553065701e+00 -9.256843070182062538e-01 3.191104614194411552e+05 2.877129853921927406e+03 6.354100000000000000e+04
1.124405349524136177e+00 6.980001682328726420e-02 8.876159646089263333e+00 -1.511392690234498737e+00 3.191041161995045841e+05 2.889663480923903080e+03 2.000000000000000000e+00
-2.622155580591988500e+00 -1.246906229679960176e-01 5.731171751185097918e+00 -1.380286664743370251e+00 3.191058731584280031e+05 2.852303092513595857e+03 3.000000000000000000e+00
-7.411014861959420941e+00 -3.738504081369681820e-01 -9.196922798220963813e+00 2.056478327557151875e+00 3.191054396775303758e+05 2.881314286749347048e+03 4.244000000000000000e+04
-2.111013320552341099e+01 -1.311135698308657505e+00 -2.032412219725429292e+00 5.539010397910324457e-01 3.191040654867578996e+05 2.879852253085336088e+03 5.000000000000000000e+00
2.670021448653208562e+00 -2.272094435684686609e+00 -2.833997487034939144e+00 -8.414228413178633792e-01 3.192210560620735050e+05 2.389095185591603240e+03 6.354300000000000000e+04
1.866385394696711231e+01 9.703582687031410137e-01 -6.789378180480575287e-01 7.837130845647723165e-02 3.191061602670904831e+05 2.852827831471253376e+03 4.608200000000000000e+04
1.269126797033641729e+01 8.605182291083612878e-01 1.717638899764953653e+00 -4.348977573933547336e-01 3.191031276683456381e+05 2.887399957027040728e+03 8.000000000000000000e+00
-6.252157740825332599e-01 4.770887869514558316e-02 -5.645682093882745001e+00 1.347003152976003371e+00 3.191086806599763222e+05 2.837657601082524252e+03 9.000000000000000000e+00
3.538741008725692083e-01 -6.339208947845600961e-02 3.004080889117798914e-01 7.118215729071231124e-02 3.191034227262033965e+05 2.872439598233409924e+03 3.948300000000000000e+04
1.709034261173391300e+01 7.384901367465497302e-01 3.909256880712056598e-02 -2.633303438133748897e-01 3.191195265183039010e+05 2.874194176094305476e+03 3.470800000000000000e+04
-1.753393153565437856e+01 -9.997966271443580188e-01 -1.490180841779150889e+00 6.846033100258642756e-01 3.191043054027962498e+05 2.882991855546766601e+03 5.752700000000000000e+04
-1.244804771743535543e+00 -2.117291318528488731e+00 1.391025689554915168e+01 -2.173635284978279625e+00 3.192904308690531761e+05 2.090212828347990126e+03 5.601900000000000000e+04
8.020657502680617057e+00 2.425107410707831312e-01 9.561694673409517620e+00 -2.346522417058787724e+00 3.191089849273200380e+05 2.838286324984890143e+03 5.601800000000000000e+04
-7.226414199147940032e+00 -3.624887384862901518e-01 -9.237664917367947037e-01 2.714716735678579518e-01 3.191256423641655128e+05 2.877947652382484193e+03 4.060500000000000000e+04
-4.223068943569434630e+00 -1.378064951817929706e-01 -7.970888819836335237e+00 1.671259836520180952e+00 3.191095576022058376e+05 2.835426009134198466e+03 3.069200000000000000e+04
-8.740027472402587705e+00 -2.923211823288176525e-01 2.444124719422422487e+00 -7.230129124201050139e-01 3.191187824139881996e+05 2.869411626842178066e+03 6.457000000000000000e+04
-7.499050817852707773e+00 -2.853155671238158386e-01 9.902875002088977752e+00 -2.355751582868149452e+00 3.191111451085889130e+05 2.868552054339379538e+03 6.387100000000000000e+04
-2.571385320563426724e+00 -2.429253496059030903e-01 1.348678044268364573e+01 -2.830859347681552673e+00 3.191029703613130841e+05 2.880677941108514915e+03 1.900000000000000000e+01
1.541062777089434199e+01 4.436906597249384854e-01 -7.291303385071943310e+00 1.574963504048449092e+00 3.191382990124187199e+05 2.876721883221433927e+03 5.945700000000000000e+04
1.528241898569611124e+00 2.155623339478444644e-01 2.929103410990359535e+00 -6.847169413128186832e-01 3.191021361183501431e+05 2.902750909856084490e+03 2.887400000000000000e+04
7.465210898208416879e+00 1.502876252232205612e-01 -2.648711272719732612e-01 2.225441899535446633e-01 3.191427399148216355e+05 2.863471281753080348e+03 6.814700000000000000e+04
