,0
0,name
1,s
2,x
3,px
4,y
5,py
6,zeta
7,delta
8,ptau
9,W_matrix
10,kin_px
11,kin_py
12,kin_ps
13,kin_xprime
14,kin_yprime
15,env_name
16,betx
17,bety
18,alfx
19,alfy
20,gamx
21,gamy
22,dx
23,dpx
24,dy
25,dpy
26,dx_zeta
27,dpx_zeta
28,dy_zeta
29,dpy_zeta
30,betx1
31,bety1
32,betx2
33,bety2
34,alfx1
35,alfy1
36,alfx2
37,alfy2
38,gamx1
39,gamy1
40,gamx2
41,gamy2
42,mux
43,muy
44,muzeta
45,nux
46,nuy
47,nuzeta
48,phix
49,phiy
50,phizeta
51,periodic
52,only_markers
53,particle_on_co
54,circumference
55,orientation
56,R_matrix
57,steps_r_matrix
58,R_matrix_ebe
59,bets0
60,T_rev0
61,gamma0
62,beta0
63,p0c
64,slip_factor
65,momentum_compaction_factor
66,slip_factor_dz_ddelta
67,qx
68,qy
69,qs
70,c_minus
71,c_minus_re_0
72,c_minus_im_0
73,c_minus_re
74,c_minus_im
75,c_r1
76,c_r2
77,c_phi1
78,c_phi2
79,eigenvalues
80,rotation_matrix
81,dmux
82,dmuy
83,dzeta
84,bx_chrom
85,by_chrom
86,ax_chrom
87,ay_chrom
88,wx_chrom
89,wy_chrom
90,ddx
91,ddpx
92,ddy
93,ddpy
94,dqx
95,dqy
96,ddqx
97,ddqy
98,values_at
99,method
100,radiation_method
101,reference_frame
102,line_config
103,completed_init
104,_action
